,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,1,0,0,3,4,5,1,0,2.236067977,0,4.123105626,5.099019514,0,0,0,0,3,0,3.605551275,0,5,5.830951895,4,4.123105626,0,0,5.656854249,6.403124237
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,1,1,2,3.16227766,0,1.414213562,0,1.414213562,2.236067977,0,0,0,0,4.242640687,0,3.16227766,0,3.16227766,3.605551275,5,4.472135955,0,0,4.123105626,4.472135955
4,4,0,0,1,1,1,4.123105626,0,2.236067977,0,1,1.414213562,0,0,0,0,5,0,3.605551275,0,3,3.16227766,5.656854249,5,0,0,4,4.123105626
5,5,0,0,2,1,1,5.099019514,0,3.16227766,0,1.414213562,1,0,0,0,0,5.830951895,0,4.242640687,0,3.16227766,3,6.403124237,5.656854249,0,0,4.123105626,4
6,1,0,0,3.16227766,4.123105626,5.099019514,1,0,2,0,4,5,0,0,0,0,2,0,2.828427125,0,4.472135955,5.385164807,3,3.16227766,0,0,5,5.830951895
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2.236067977,0,0,1.414213562,2.236067977,3.16227766,2,0,1,0,2,3,0,0,0,0,2.828427125,0,2,0,2.828427125,3.605551275,3.605551275,3.16227766,0,0,3.605551275,4.242640687
9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4.123105626,0,0,1.414213562,1,1.414213562,4,0,2,0,1,1,0,0,0,0,4.472135955,0,2.828427125,0,2,2.236067977,5,4.242640687,0,0,3,3.16227766
11,5.099019514,0,0,2.236067977,1.414213562,1,5,0,3,0,1,1,0,0,0,0,5.385164807,0,3.605551275,0,2.236067977,2,5.830951895,5,0,0,3.16227766,3
12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,3,0,0,4.242640687,5,5.830951895,2,0,2.828427125,0,4.472135955,5.385164807,0,0,0,0,1,0,2,0,4,5,1,1.414213562,0,0,4.123105626,5.099019514
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,3.605551275,0,0,3.16227766,3.605551275,4.242640687,2.828427125,0,2,0,2.828427125,3.605551275,0,0,0,0,2,0,1,0,2,3,2.236067977,1.414213562,0,0,2.236067977,3.16227766
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,5,0,0,3.16227766,3,3.16227766,4.472135955,0,2.828427125,0,2,2.236067977,0,0,0,0,4,0,2,0,1,1,4.123105626,3.16227766,0,0,1,1.414213562
21,5.830951895,0,0,3.605551275,3.16227766,3,5.385164807,0,3.605551275,0,2.236067977,2,0,0,0,0,5,0,3,0,1,1,5.099019514,4.123105626,0,0,1.414213562,1
22,4,0,0,5,5.656854249,6.403124237,3,0,3.605551275,0,5,5.830951895,0,0,0,0,1,0,2.236067977,0,4.123105626,5.099019514,1,1,0,0,4,5
23,4.123105626,0,0,4.472135955,5,5.656854249,3.16227766,0,3.16227766,0,4.242640687,5,0,0,0,0,1.414213562,0,1.414213562,0,3.16227766,4.123105626,1,1,0,0,3,4
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,5.656854249,0,0,4.123105626,4,4.123105626,5,0,3.605551275,0,3,3.16227766,0,0,0,0,4.123105626,0,2.236067977,0,1,1.414213562,4,3,0,0,1,1
27,6.403124237,0,0,4.472135955,4.123105626,4,5.830951895,0,4.242640687,0,3.16227766,3,0,0,0,0,5.099019514,0,3.16227766,0,1.414213562,1,5,4,0,0,1,1
