S.No,"e_{i,j,k}",,,Parameter value set 1,Parameter value set 2,Parameter value set 3,Parameter value set 4,Parameter Value in Paper,Mean,Standard Deviation,Standard Error (SD/sqrt(n)),Error for 95 % confidence (1.96*Std error)
,i,j,k,,,,,,,,,
1,8,,,0.039,0.039,0.039,0.053,0.039,0.042,0.007,0.004,0.007
2,10,,,-0.271,-0.273,-0.272,-0.268,-0.271,-0.271,0.002,0.001,0.002
3,14,,,0.289,0.292,0.294,0.297,0.284,0.293,0.004,0.002,0.004
4,15,,,-0.046,-0.045,-0.042,-0.046,-0.052,-0.045,0.002,0.001,0.002
5,18,,,0.039,0.039,0.039,0.053,0.039,0.042,0.007,0.004,0.007
6,20,,,-0.271,-0.273,-0.272,-0.268,-0.271,-0.271,0.002,0.001,0.002
7,4,10,,0.023,0.023,0.026,0.025,0.024,0.024,0.001,0.001,0.001
8,8,9,,0.015,0.016,0.015,0,0.015,0.012,0.008,0.004,0.008
9,9,10,,-0.033,-0.032,-0.032,-0.029,-0.032,-0.032,0.001,0.001,0.001
10,9,19,,0.12,0.119,0.118,0.123,0.119,0.12,0.002,0.001,0.002
11,9,20,,0.071,0.071,0.072,0.073,0.071,0.072,0.001,0.001,0.001
12,10,14,,-0.015,-0.014,-0.016,-0.021,-0.015,-0.016,0.003,0.002,0.003
13,10,19,,0.071,0.071,0.072,0.073,0.071,0.072,0.001,0.001,0.001
14,10,20,,0.141,0.144,0.144,0.142,0.142,0.142,0.002,0.001,0.001
15,13,14,,-0.019,-0.022,-0.02,-0.019,-0.02,-0.02,0.001,0.001,0.001
16,14,20,,-0.015,-0.014,-0.016,-0.021,-0.015,-0.016,0.003,0.002,0.003
17,18,19,,0.015,0.016,0.015,0,0.015,0.012,0.008,0.004,0.008
18,19,20,,-0.033,-0.032,-0.032,-0.029,-0.032,-0.032,0.001,0.001,0.001
19,20,26,,0.023,0.023,0.026,0.025,0.024,0.024,0.001,0.001,0.001
20,8,9,14,-0.021,-0.018,-0.019,0,-0.02,-0.015,0.01,0.005,0.01
21,9,10,19,-0.043,-0.041,-0.041,-0.043,-0.041,-0.042,0.001,0.001,0.001
22,9,10,20,-0.038,-0.042,-0.044,-0.042,-0.043,-0.041,0.003,0.001,0.003
23,9,15,19,-0.032,-0.031,-0.035,-0.033,-0.032,-0.033,0.002,0.001,0.002
24,9,19,20,-0.043,-0.041,-0.041,-0.043,-0.041,-0.042,0.001,0.001,0.001
25,10,14,20,-0.023,-0.025,-0.025,-0.019,-0.021,-0.023,0.003,0.001,0.003
26,10,19,20,-0.038,-0.042,-0.044,-0.042,-0.043,-0.041,0.003,0.001,0.003
27,14,18,19,-0.021,-0.018,-0.019,0,-0.02,-0.015,0.01,0.005,0.01
Bias,,,,0.494,0.493,0.491,0.487,0.496,0.491,0.003,0.002,0.003
